,Latitude,Longitude,BirthDate,BirthDateTime,SeasonRegressionEncoding,SeasonFrankHalEncodingSpring,SeasonFrankHalEncodingSummer,SeasonFrankHalEncodingFall,sunriseTimeRaw,sunsetTimeRaw,moonPhase,precipIntensityMax,precipProbability,precipTypeRaw,temperatureHigh,temperatureLow,dewPoint,humidity,windSpeed,cloudCover,uvIndex,visibility,sunriseTimeMinute,sunsetTimeMinute,dayDuration,temperatureChange,PrecipType_None,PrecipType_rain,PrecipType_snow
0,41.197746,-88.15758,1524447636,2018-04-23 01:40:36,1,1,0,0,1524394980.0,1524444060.0,0.26,0.0007,0.02,rain,64.95,41.32,29.35,0.44,7.46,0.12,9.0,9.997,663.0,1481.0,818.0,23.630000000000003,0,1,0
1,41.488365,-87.75167,1528162636,2018-06-05 01:37:16,2,1,1,0,1528107600.0,1528161720.0,0.7,0.0,0.0,None,78.78,62.5,49.23,0.54,6.05,0.06,10.0,9.996,620.0,1522.0,902.0,16.28,1,0,0
2,40.973595,-87.57315,1517638013,2018-02-03 06:06:53,0,0,0,0,1517662800.0,1517699460.0,0.63,0.0054,0.21,snow,40.29,29.66,16.29,0.6,9.46,0.93,2.0,9.997,780.0,1391.0,611.0,10.629999999999999,0,0,1
3,35.31407,-116.94493,1545264278,2018-12-20 00:04:38,0,0,0,0,1545231180.0,1545266400.0,0.41,0.0,0.0,None,61.28,33.05,34.33,0.6,3.23,0.0,3.0,9.997,893.0,1480.0,587.0,28.230000000000004,1,0,0
5,29.373638,-97.94432,1548972565,2019-01-31 22:09:25,0,0,0,0,1548940980.0,1548979800.0,0.89,0.0209,0.2,rain,59.1,56.44,50.26,0.89,3.5,1.0,3.0,9.676,803.0,1450.0,647.0,2.6600000000000037,0,1,0
6,35.124146,-96.52336,1555512493,2019-04-17 14:48:13,1,1,0,0,1555501920.0,1555549260.0,0.45,0.0,0.0,None,76.07,55.87,62.49,0.8,8.71,0.85,6.0,7.978,712.0,1501.0,789.0,20.199999999999996,1,0,0
8,41.934376,-94.59036,1543961664,2018-12-04 22:14:24,0,0,0,0,1543930260.0,1543963740.0,0.93,0.0012,0.18,snow,24.75,18.34,19.79,0.87,4.86,0.98,1.0,6.968,811.0,1369.0,558.0,6.41,0,0,1
9,28.954363,-87.62189,1520765198,2018-03-11 10:46:38,1,1,0,0,1520769960.0,1520812680.0,0.83,0.0,0.0,None,75.35,57.75,64.88,0.83,14.25,0.56,7.0,9.509,726.0,1438.0,712.0,17.599999999999994,1,0,0
13,33.181507,-83.49791,1517571320,2018-02-02 11:35:20,0,0,0,0,1517574600.0,1517612880.0,0.6,0.0153,0.57,rain,49.75,31.98,27.96,0.56,4.77,0.3,4.0,5.97,750.0,1388.0,638.0,17.77,0,1,0
15,36.98338,-106.76723,1546533998,2019-01-03 16:46:38,0,0,0,0,1546525320.0,1546560240.0,0.94,0.0066,0.66,snow,33.41,6.47,4.16,0.81,2.39,0.0,3.0,9.997,862.0,1444.0,582.0,26.939999999999998,0,0,1
