Latitude,Longitude,birth_date,maxtempC,mintempC,totalSnow_cm,sunHour,tempC,windspeedKmph,winddirDegree,precipMM,humidity,visibility,pressure,cloudcover,HeatIndexC,DewPointC,WindChillC,WindGustKmph,FeelsLikeC,uvIndex,sunrise,sunset,season
49.83087,-119.15662,2018-05-13 18:40:11,25,8,0.0,14.5,16.0,3.0,16.0,0.0,51.0,10.0,1014,4.0,17.0,7.0,17.0,5.0,17.0,1,04:14 AM,07:33 PM,spring
32.98604,-86.69294000000002,2018-10-13 11:57:35,26,13,0.0,11.6,20.0,7.0,33.0,0.0,51.0,10.0,1016,11.0,20.0,9.0,20.0,8.0,20.0,1,05:50 AM,05:16 PM,autumn
33.49006,-99.252716,2018-07-30 08:38:32,33,23,0.0,13.3,23.0,36.0,83.0,0.0,93.0,9.0,1015,90.0,26.0,22.0,23.0,43.0,26.0,1,05:48 AM,07:39 PM,summer
42.9035,-117.78322,2018-11-15 23:37:41,11,1,0.0,8.7,4.0,1.0,267.0,0.0,52.0,10.0,1022,10.0,4.0,-5.0,4.0,2.0,4.0,1,07:44 AM,05:28 PM,autumn
50.146244,-103.212036,2018-02-02 09:28:53,-17,-24,0.3,3.5,-20.0,4.0,280.0,0.2,97.0,5.0,1030,100.0,-20.0,-21.0,-24.0,7.0,-24.0,1,08:25 AM,05:49 PM,winter
42.5864,-103.8996,2018-06-28 06:30:05,37,23,0.0,14.5,23.0,18.0,205.0,0.0,47.0,10.0,1005,10.0,25.0,11.0,23.0,39.0,25.0,1,04:20 AM,07:38 PM,summer
42.37913,-118.51913,2018-10-17 15:10:55,16,6,0.0,8.7,16.0,13.0,7.0,0.0,25.0,10.0,1020,0.0,16.0,-4.0,16.0,17.0,16.0,1,06:09 AM,05:09 PM,autumn
49.393127,-115.3406,2019-04-21 18:51:46,15,-2,0.0,14.1,14.0,3.0,234.0,0.0,51.0,10.0,1017,10.0,15.0,1.0,15.0,5.0,15.0,1,05:38 AM,07:43 PM,spring
35.79653,-95.683426,2018-01-26 12:25:20,13,9,0.0,3.8,12.0,32.0,182.0,0.0,64.0,10.0,1021,78.0,12.0,6.0,9.0,38.0,9.0,1,07:27 AM,05:44 PM,winter
41.196953,-89.676025,2018-02-18 03:45:48,5,-5,0.0,7.2,-5.0,6.0,215.0,0.0,90.0,10.0,1026,0.0,-5.0,-6.0,-7.0,12.0,-7.0,1,06:49 AM,05:37 PM,winter
